specimen_id,shape_type,Li,B,Mg,Cr,Mn,Co,Cu,Zn,Rb,Sr,Cd,Ba,La,Pb
110,C,3.886932515,38.44616814,77.68240848,1858.823599,1.225039958,-0.1832042,-0.384349244,9.764063728,-0.0479701,7904.304389,0.005777968,14.10196038,-0.012954081,0.018903859
111,M,1.329581286,29.80734947,88.38629154,1295.561167,1.396335195,-0.042007633,-0.8520311,20.62846742,-0.027229594,8589.645501,-0.048674476,19.84918615,-0.02407592,0.048778529
112,C,4.235952043,13.28771407,55.67789951,12.16086117,1.37891244,-1.498242574,10.19710962,18.58169005,-0.105937304,10232.81589,-0.056116544,20.01612433,0.079193461,0.502301438
116,H,2.791049216,40.75918736,60.15328983,1262.228448,0.908891988,-0.069141476,-0.442617375,16.13746852,-0.040319675,9238.521099,-0.234320286,19.03658295,0.006152311,0.006529916
118,C,5.000504837,58.28877493,113.0129194,1145.853342,1.868862911,-0.075469761,-0.540088219,13.18952895,-0.109540304,9447.822132,-0.059403238,24.79427161,0.000498972,-0.007459835
125,H,3.36985831,60.52549926,61.98993871,1418.790901,1.127446254,-0.191252547,-0.707920767,15.68511982,-0.020515031,9720.940636,-0.030091262,19.60920918,-0.006021417,-0.021049568
126,C,6.355031834,12.62655877,70.99729098,-5.525338623,0.861628155,1.18380614,-1.159875023,8.047984203,0.088709254,9990.356662,-0.070691871,17.26622528,-0.001611706,0.027414765
127,C,2.598136925,16.76951063,62.07449578,10.82842631,4.150693888,-0.113009279,-0.568448988,9.418331971,-0.121602296,10023.08271,0.043184655,16.11669198,0.001986169,0.026658983
129,M,4.662849715,9.41656087,66.16641001,14.84222446,1.51284063,-0.449870324,-0.726086113,13.11401027,-0.185851709,9944.903356,0.007745058,15.62055626,0.00271669,0.033722073
130,M,1.47257137,14.96437024,68.39725067,13.40844474,1.68737757,-0.194478523,-0.6889113,12.48564621,-0.020043495,10128.15336,0.070614446,18.08626017,-0.007618158,0.070645749
132,M,2.735521168,40.9064937,132.170444,433.6651481,3.224001725,168.0174624,44.23417796,16.49398663,0.043982363,10530.46988,0.114633673,20.59221657,-0.056504711,0.284872394
133,M,1.769861219,16.81864628,60.74481865,16.07849929,1.377907236,-1.001909441,-0.795198146,8.522501185,-0.011349498,11354.76433,-0.007341329,26.23248557,-0.004449361,0.075099089
138,M,3.91585563,9.182751068,65.82138485,12.23303404,1.495056133,-1.849197558,17.24892452,23.09213922,-0.213168087,10794.62778,0.096207664,23.31075747,0.032513024,1.012158926
145,M,4.576240802,9.538817907,54.05741222,14.10978895,1.886105012,-1.353783168,8.545798488,19.26528671,-0.145621205,9488.646212,0.032758779,23.08292619,0.091647836,0.527440175
166,H,3.036796924,6.44917787,84.82937525,15.21903871,2.359875207,-1.3287209,16.31243496,23.35432392,-0.181488333,8450.701605,0.051945398,26.04329729,0.064837507,0.690254874
167,H,4.62297145,7.373350355,37.49099216,14.507872,2.028874962,-1.409453513,15.679182,22.06454794,-0.2079505,9609.647769,-0.021933529,44.51657549,0.041135146,0.587483846
