id,Area,Cruise,Date,T_length,F_length,agebefore,peaks,ageafter,Oto_area,Oto_majorAxis,Oto_minorAxis,Oto_Perimeter,Oto_Length,Oto_Width,Oto_Weight,Mg24,Mg26,Mn55,Co59,Cu65,Zn66,Sr86,Sr87,Ba138,Pb208
O21,OR,Oregon,6/23/2011,201,186,4,2,2,6.993461609,3.619652748,2.607609749,13.40494061,3.987670898,2.951782227,0.005,-16.46829299,-5.385756145,0.00988361,-0.188463721,-0.206731128,0.126729427,-1420.985108,-295.3951859,0.829170118,-0.078686253
O22,OR,Oregon,6/23/2011,198,183,4,2,2,6.20854187,3.416648865,2.435523272,11.26360035,3.871704102,2.630554199,0.004,16.74611979,27.91094996,0.183697387,-0.283786531,-0.300229039,-5.516926448,-1426.428773,-94.95482786,0.184862488,-0.080737949
O24,OR,Oregon,6/23/2011,203,188,4,3,2,7.685305119,3.75541091,2.755404711,12.74843884,4.270507813,3.048461914,0.005,-29.75696984,-17.98916867,-0.096768159,-0.134761915,-0.233086499,-9.36360891,-655.3721543,-479.9618189,0.881735583,-0.083695377
O30,OR,Oregon,6/23/2011,223,206,4,3,2,8.057184219,4.033214569,2.715592861,13.167243,4.642700195,2.99899292,0.006,-13.66920184,-7.542872115,-0.099923331,0.215702804,-0.295998968,-10.76070552,-1528.944417,-157.7625979,0.403355354,-0.064204225
O31,OR,Oregon,6/23/2011,209,193,4,2,2,7.18385601,3.751475573,2.596408844,12.50014591,4.191894531,2.943620682,0.005,-2.204505008,-1.029514415,0.729442278,0.071622556,0.209364762,7.211096027,434.8664857,625.1707221,2.688858473,0.150546773
O32,OR,Oregon,6/23/2011,202,187,4,2,2,7.314347267,3.630203724,2.704437017,12.35107613,4.068939209,2.921630859,0.005,-16.45401353,-11.09685857,-0.400745654,0.758512304,-0.26992407,-10.10317505,-1447.725841,-9.879023856,-0.216400231,-0.073352758
O33,OR,Oregon,6/23/2011,203,188,6,2,2,8.038443565,3.91818881,2.734988689,12.42080307,4.367553711,3.001708984,0.005,-12.62507843,-3.107811905,0.992505731,0.19653229,-0.281510724,-3.277838663,-1933.35244,-339.3516929,-0.379696341,-0.064482851
O34,OR,Oregon,6/23/2011,212,196,5,3,2,7.28498745,3.753694057,2.622125626,12.29443932,4.212982178,2.929443359,0.005,3.038523592,15.65749189,0.509971847,0.110702849,0.003927088,-2.588529643,-1822.11039,-421.2459929,1.849507034,-0.068718477
O35,OR,Oregon,6/23/2011,204,189,4,2,2,7.55958128,3.780373812,2.686448812,12.40873909,4.279541016,2.869628906,0.005,-21.58410417,-8.899636355,-0.07694624,0.119998559,-0.24569681,-5.793850226,-2163.857192,-949.7542199,-0.207397697,-0.079159744
O36,OR,Oregon,6/23/2011,200,185,4,2,2,6.999182224,3.729743242,2.516251564,12.24157238,4.13659668,2.882019043,0.005,-21.76593487,-16.36676361,0.149553778,0.196100343,0.368107066,-2.468827653,-1518.633667,-288.6752339,1.367784298,0.135049456
O37,OR,Oregon,6/23/2011,201,186,4,2,2,6.734780788,3.588431835,2.530905962,11.71239471,4.021972656,2.926422119,0.005,-27.11849303,-14.7314398,0.172860365,-0.207587703,0.02093752,-4.43575024,-2193.604111,-531.3636779,0.73293723,-0.080319979
O43,OR,Oregon,6/23/2011,227,210,6,3,3,8.901119232,4.321768284,2.812290192,14.58192253,4.847167969,3.147338867,0.008,-1.996088208,0.722236565,0.576724491,0.434528516,-0.156324455,-7.41514965,-1382.231644,-93.24996386,-1.441113503,-0.073978327
O44,OR,Oregon,6/23/2011,197,182,6,2,2,6.655381203,3.526770115,2.53142643,12.15069294,3.991394043,2.798339844,0.004,50.64530879,56.34480131,0.418733232,-0.229428374,-0.32189942,-6.743205754,-1289.953339,70.05038114,0.207198833,-0.074568788
O52,OR,Oregon,6/23/2011,200,185,4,2,2,7.268647194,3.787513971,2.584434986,12.55886841,4.293212891,2.895080566,0.005,-5.208078628,6.825054185,-0.058784521,-0.005211644,-0.021798376,-1.994184623,-1511.621345,-752.9779619,-0.600037404,-0.055498173
O54,OR,Oregon,6/23/2011,197,182,6,2,2,7.892697334,3.973197937,2.65325141,12.80107784,4.352050781,2.917114258,0.006,5.030147292,10.90477228,0.097443731,-0.207076749,0.04534716,-3.915438127,-1804.199015,-506.9697689,0.452147282,0.052890833
O58,OR,Oregon,6/23/2011,207,192,5,3,3,7.696384907,4.054468155,2.577719927,13.55548763,4.569091797,2.914245605,0.005,-11.73509981,-7.735967675,-0.304840415,-0.208639591,-0.2167816,-5.157874502,-1004.1614,-162.3631099,0.196488979,-0.038628147
O59,OR,Oregon,6/23/2011,214,198,5,2,2,7.666367531,3.849898338,2.693651915,12.85130882,4.38671875,3.015319824,0.006,-20.51199951,-17.16589951,0.240508106,-0.191406899,-0.363313025,-3.671447669,-1600.234055,-267.8152349,-0.036405987,-0.073471662
O60,OR,Oregon,6/23/2011,203,188,5,2,2,7.767893791,3.8525002,2.687878609,12.24255562,4.263183594,2.928833008,0.006,-15.88804485,-8.343410605,0.926781075,0.726530331,0.043143382,-2.682338323,-1633.406567,-184.5836599,0.173258251,-0.060174529
O66,OR,Oregon,6/23/2011,201,186,5,2,2,7.499448299,3.729068279,2.720991135,12.9224472,4.185302734,3.106842041,0.005,5.049139892,9.200019975,0.543622727,-0.319365281,0.010761436,-2.168724793,-923.8447333,139.6562481,-0.76315342,0.097721395
O70,OR,Oregon,6/23/2011,213,197,6,2,2,7.86833477,3.955039263,2.687851667,12.84702682,4.331542969,3.094268799,0.009,-13.41961197,-5.664229115,0.246593622,-0.288544037,-0.230922615,3.564301947,-2593.736393,-672.1344829,-0.26235978,-0.072105972
O75,OR,Oregon,6/23/2011,234,217,4,2,2,8.334144592,4.219978333,2.731560946,13.54846096,4.690429688,3.28503418,0.007,-4.077928928,20.19711816,-0.02397332,-0.179388414,-0.172748251,-3.447694291,-1701.882429,-790.2129489,2.101811774,-0.082214848
C11,AL,Chilkoot,5/2/2006,204,189,5,4,4,7.061518192,3.778493643,2.525983334,12.93416786,4.212036133,2.840576172,0.005,-32.8927247,-27.65659439,0.523180002,0.040958955,-0.163938386,-3.980726556,-1591.174851,-795.6748469,1.079409625,-0.079227981
C14,AL,Chilkoot,5/2/2006,199,184,5,4,4,5.83998394,3.5137918,2.280757189,11.53401852,3.959838867,2.721313477,0.004,-35.08571977,-28.00970319,-0.212982899,0.037582851,-0.383661502,0.498016297,385.2277857,-215.3834789,0.622592326,-0.078198007
C15,AL,Chilkoot,5/2/2006,192,178,5,4,3,6.328840733,3.481468201,2.422952175,11.52911282,3.868347168,2.703125,0.005,-33.09802796,-28.35908926,-0.643113059,-0.07297553,-0.156266104,-8.595764591,-559.5349143,199.4757401,-0.30302641,-0.082885404
C19,AL,Chilkoot,5/2/2006,188,174,5,3,3,6.463079929,3.481654882,2.490670443,11.46027279,3.930664063,2.783203125,0.004,-25.78075638,-18.80276404,0.717580278,-0.032706575,-0.156098905,20.24021332,-1710.859644,-202.4852349,2.426381573,-0.074704205
C25,AL,Chilkoot,5/2/2006,192,178,4,3,3,6.240597248,3.383828402,2.44546628,10.90707874,3.804519653,2.690429688,0.004,-32.61006619,-26.61056205,-0.260079347,0.166335123,-0.192747911,-3.370874065,-318.6374643,356.0788081,0.186937783,-0.073366417
C37,AL,Chilkoot,5/2/2006,194,180,8,5,5,6.589658737,3.501092911,2.483291388,11.47656631,3.821044922,2.641601563,0.004,-37.83077725,-30.52570752,-0.087704084,-0.256307306,-0.310976387,-1.855505773,-872.0797873,-1.911021856,0.402697994,-0.07406891
C47,AL,Chilkoot,5/2/2006,196,181,4,5,3,6.769729614,3.737979889,2.457714319,12.38947868,4.076660156,2.853820801,0.005,-35.02736806,-4.564442745,0.162530479,-0.077125423,-0.24178601,-4.635403388,-34.69189428,299.0307171,-0.851156606,-0.081025791
C53,AL,Chilkoot,5/2/2006,192,178,4,4,3,6.421029568,3.148751736,2.657604218,10.9206152,3.463684082,2.734619141,0.005,-29.28856816,-12.29160587,0.137258071,-0.205044575,-0.312903849,-1.536858203,555.7730157,607.8605731,0.949130719,-0.089907317
C57,AL,Chilkoot,5/2/2006,207,192,6,4,4,7.458318233,3.867282867,2.56612134,11.77911854,4.166915894,2.872314453,0.005,-14.70974911,-9.051632225,0.051273512,0.06833811,-0.025297144,-2.513050963,-558.9611943,-30.20399986,0.29019378,0.030109251
C69,AL,Chilkoot,5/2/2006,184,170,4,4,3,6.832624435,3.604244947,2.513786793,11.56226921,3.880775452,2.799072266,0.005,-28.22299444,-21.54281804,-0.211138004,-0.153519261,-0.170976371,-5.611605482,-640.7297843,101.5141511,-0.440863825,0.042177537
C70,AL,Chilkoot,5/2/2006,184,170,7,5,4,6.334167004,3.591618776,2.357930422,11.56076717,4.016441345,2.626708984,0.004,-35.3737867,-30.68941248,-0.191243428,-0.209324987,-0.111763674,-2.274989953,-7.174804279,371.4360871,-0.932789828,0.058882462
C73,AL,Chilkoot,5/2/2006,194,180,8,4,6,6.514862537,3.628324509,2.42600441,12.53461552,4.04208374,2.705566406,0.005,-32.33633148,-28.91783387,0.379088365,-0.160424038,0.327722716,5.378679157,-230.8301543,469.5400041,1.269816249,0.200752445
C76,AL,Chilkoot,5/2/2006,194,180,6,4,4,7.388256073,4.037626743,2.489701271,12.63933182,4.446960449,2.884765625,0.006,-32.85951755,-26.27243852,-0.208405977,0.346338189,-0.270527296,-10.19247912,-1142.668305,-645.8743099,0.472278952,-0.081467074
C85,AL,Chilkoot,5/2/2006,194,180,4,3,3,6.445392132,3.585123539,2.430811644,11.60606575,3.947143555,2.707275391,0.004,-27.84103132,-21.17841029,0.181425455,-0.116351875,-0.381364658,1.338279857,-1916.604287,-884.9307409,-0.548097621,-0.081653927
C91,AL,Chilkoot,5/2/2006,184,170,5,3,3,6.378617764,3.514504433,2.444307804,11.7160244,3.973388672,2.693847656,0.004,-18.84390434,-14.4434714,0.089841975,-0.273128135,-0.379249451,-3.182747023,-1549.631397,-161.2945339,0.131694684,-0.082304367
