Spec_id,Stage,Mg24,Mg25,Ba,Li,Mn,Sr,Zn
105.2,J,71.9066505,48.99156912,38.39944099,4.642781001,1.153224823,9890.449072,7.410492867
105.3,T,65.27165833,42.63046883,31.02592051,1.629953047,1.522652073,9328.992724,9.126689776
107.1,A,45.68388553,19.09817039,33.09302724,1.713933029,1.078242327,9599.987763,5.112114336
107.2,J,51.81878805,23.9092263,26.92332426,4.497868089,0.925040235,9333.027729,7.993151522
107.3,T,45.32186018,16.78266804,25.62765709,1.547444904,3.478897227,9417.528158,6.705788185
108.1,A,101.9360138,74.31742643,24.07603143,1.494530925,0.556895741,11396.67736,4.218581842
108.2,J,69.0211577,38.20777258,27.71630236,4.44290124,0.095891532,10412.65177,4.399656523
108.3,T,84.52310741,58.06202051,30.86258485,1.66143434,0.78433968,10461.57739,8.272564396
109.1,A,70.16610687,41.50177869,11.79817787,0.89034405,1.524241856,7691.726418,11.58188539
109.2,J,64.34970115,36.86601316,25.83166269,8.07272202,1.047259855,8498.20114,6.354635853
109.3,T,73.05244848,45.0314737,17.7512972,1.417783344,1.709073787,9053.819318,10.07814394
110.1,A,89.34101035,59.9912043,11.7844877,1.579615221,0.921230815,8718.075543,9.927386641
110.2,J,79.88530363,56.58477195,18.11739955,8.439157692,1.038470974,8433.468957,9.915609895
110.3,T,76.84164228,52.52879798,12.23252917,1.766522655,1.329140302,7579.744482,9.942338473
112.1,A,64.44079494,58.74535243,27.39257392,1.35914657,1.409866674,9395.48785,16.00271766
112.2,J,55.17222039,46.46231665,20.83502762,9.34776418,1.067713145,10146.83959,20.79278112
112.3,T,55.11928962,45.54835337,17.90329933,1.605984736,1.582831146,10552.15102,18.18914373
116.1,A,218.4099618,179.9563697,17.4116586,1.161958197,0.589238609,8980.574503,28.32959833
116.2,J,70.06509391,45.69218613,21.3588881,7.868850452,0.906601904,10175.54,16.90685098
116.3,T,58.25594596,35.84248202,18.44261399,1.549850013,0.930469665,9012.576788,16.24293766
